108449015	"旭川／真庭市湯原温泉（湯原ダム）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449015"	133.732838000	35.206301000	87078000	"旭川"	NULL	87078001	"旭川"	3301214	"真庭市"	"岡山県真庭市湯原温泉"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449015.jpg"
108449016	"宇甘川／岡山市北区御津中泉（道路橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449016"	133.886915000	34.811050000	87078000	"旭川"	NULL	87078017	"宇甘川"	3301201	"岡山市"	"岡山県岡山市北区御津中泉"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449016.jpg"
108449017	"砂川／岡山市東区沼（楢部橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449017"	134.040816000	34.707925000	87078000	"旭川"	NULL	87078012	"砂川"	3301201	"岡山市"	"岡山県岡山市東区沼"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449017.jpg"
108449018	"砂川／赤磐市下市（下市橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449018"	134.018306000	34.752506000	87078000	"旭川"	NULL	87078012	"砂川"	3301213	"赤磐市"	"岡山県赤磐市下市"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449018.jpg"
108449019	"吉井川／鏡野町中谷"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449019"	133.894602000	35.114606000	87077000	"吉井川"	NULL	87077001	"吉井川"	3301606	"苫田郡鏡野町"	"岡山県苫田郡鏡野町中谷"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449019.jpg"
108449020	"高梁川／総社市日羽（日羽水位観測所）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449020"	133.681458000	34.714282000	87079000	"高梁川"	NULL	87079001	"高梁川"	3301208	"総社市"	"岡山県総社市日羽"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449020.jpg"
108449021	"高梁川／高梁市段町（落合橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449021"	133.602009000	34.779942000	87079000	"高梁川"	NULL	87079001	"高梁川"	3301209	"高梁市"	"岡山県高梁市落合町"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449021.jpg"
108449022	"高梁川／新見市井倉（井倉連絡橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449022"	133.523940000	34.928326000	87079000	"高梁川"	NULL	87079001	"高梁川"	3301210	"新見市"	"岡山県新見市井倉"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449022.jpg"
108449023	"高梁川／新見市唐松（小坂部川合流部）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449023"	133.497188000	34.952085000	87079000	"高梁川"	NULL	87079001	"高梁川"	3301210	"新見市"	"岡山県新見市唐松"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449023.jpg"
108449024	"小田川／矢掛町浅海（中央橋）"	NULL	8449	"岡山県"	"おかやまけん"	NULL	87	"中国地方整備局"	1	"8449024"	133.561384000	34.609006000	87191000	"小田川"	NULL	87191001	"小田川"	3301461	"小田郡矢掛町"	"岡山県矢掛町浅海"	NULL	0	1	4	NULL	NULL	NULL	"https://cam.river.go.jp/cam/normal/108449024.jpg"
